time_us,time_dif_us,data_type,value_1,value_2,value_3,value_4
365312427.0,2984.0,0.0,0.01,0.05,0.05,0
365319443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365322427.0,2984.0,0.0,0.05,0.2,-0.11,0
365330443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365333427.0,2984.0,0.0,0.05,0.04,-0.03,0
365339443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365342427.0,2984.0,0.0,-0.03,-0.04,0.09,0
365349443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365352427.0,2984.0,0.0,0.05,0.04,-0.07,0
365360443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365363427.0,2984.0,0.0,0.09,0.01,-0.11,0
365370443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365373427.0,2984.0,0.0,-0.03,-0.07,0.01,0
365379443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365382427.0,2984.0,0.0,0.01,-0.03,-0.07,0
365389443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365392427.0,2984.0,0.0,0.05,0.04,-0.07,0
365400443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365403427.0,2984.0,0.0,0.01,0.04,0.01,0
365409443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365412427.0,2984.0,0.0,0.04,0.0,0.05,0
365419443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365422427.0,2984.0,0.0,0.0,0.0,0.01,0
365429443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365432427.0,2984.0,0.0,0.0,0.04,0.01,0
365440443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365443427.0,2984.0,0.0,-0.04,0.04,0.02,0
365449443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365452427.0,2984.0,0.0,-0.04,-0.04,0.02,0
365459443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365462427.0,2984.0,0.0,-0.04,-0.07,0.05,0
365469443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365472427.0,2984.0,0.0,0.0,0.01,-0.03,0
365480443.0,8016.0,1.0,0.97,-0.01,-0.22,-0.0
365483427.0,2984.0,0.0,0.04,0.01,-0.06,0
365490443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365493427.0,2984.0,0.0,-0.08,0.05,0.05,0
365500443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365504427.0,3984.0,0.0,-0.15,0.05,0.02,0
365510443.0,6016.0,1.0,0.97,-0.01,-0.22,-0.0
365513427.0,2984.0,0.0,-0.03,-0.07,-0.02,0
365520443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365523427.0,2984.0,0.0,0.08,-0.11,-0.14,0
365530443.0,7016.0,1.0,0.97,-0.01,-0.22,-0.0
365533427.0,2984.0,0.0,-0.05,-0.04,-0.02,0
365540443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365544427.0,3984.0,0.0,-0.09,-0.09,0.35,0
365550443.0,6016.0,1.0,0.98,-0.01,-0.22,-0.0
365553427.0,2984.0,0.0,0.11,0.05,-0.07,0
365560443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365563427.0,2984.0,0.0,-0.09,0.08,0.18,0
365570443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365573427.0,2984.0,0.0,0.03,-0.01,-0.13,0
365580443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365584427.0,3984.0,0.0,-0.01,-0.16,0.02,0
365590443.0,6016.0,1.0,0.98,-0.01,-0.22,-0.0
365593427.0,2984.0,0.0,-0.01,-0.2,-0.13,0
365600443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365603427.0,2984.0,0.0,-0.01,-0.02,-0.18,0
365610443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365613427.0,2984.0,0.0,0.02,-0.04,-0.07,0
365620443.0,7016.0,1.0,0.98,-0.01,-0.22,-0.0
365624427.0,3984.0,0.0,-0.09,0.02,0.08,0
365630443.0,6016.0,1.0,0.98,-0.01,-0.22,-0.0
365633427.0,2984.0,0.0,-0.09,0.07,0.18,0
365639443.0,6016.0,1.0,0.98,-0.01,-0.21,-0.0
365642427.0,2984.0,0.0,0.02,0.14,0.02,0
365650443.0,8016.0,1.0,0.98,-0.01,-0.21,-0.0
365653427.0,2984.0,0.0,0.06,0.09,0.06,0
365660443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365663427.0,2984.0,0.0,-0.05,0.01,0.25,0
365670443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365673427.0,2984.0,0.0,-0.02,0.0,0.13,0
365680443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365683427.0,2984.0,0.0,0.02,0.01,-0.06,0
365690443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365693427.0,2984.0,0.0,-0.05,0.04,0.06,0
365700443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365703427.0,2984.0,0.0,0.21,0.27,0.25,0
365710443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365713427.0,2984.0,0.0,0.28,-0.03,-0.21,0
365720443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365723427.0,2984.0,0.0,0.25,-0.01,-0.06,0
365730443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365733427.0,2984.0,0.0,0.46,-0.18,0.0,0
365740443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365743427.0,2984.0,0.0,0.35,-0.33,-0.29,0
365750443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365753427.0,2984.0,0.0,-0.08,0.09,-0.22,0
365760443.0,7016.0,1.0,0.98,-0.01,-0.21,-0.0
365763427.0,2984.0,0.0,-0.23,-0.07,-0.01,0
365770443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365773427.0,2984.0,0.0,-0.15,-0.06,0.28,0
365780443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365783427.0,2984.0,0.0,-0.19,-0.06,0.26,0
365790443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365793427.0,2984.0,0.0,-0.42,0.21,0.14,0
365800443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365803427.0,2984.0,0.0,-0.5,0.04,0.31,0
365810443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365813427.0,2984.0,0.0,0.04,0.03,0.54,0
365820443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365823427.0,2984.0,0.0,0.07,0.22,0.35,0
365829443.0,6016.0,1.0,0.98,-0.01,-0.2,0.0
365832427.0,2984.0,0.0,0.07,0.19,0.0,0
365840443.0,8016.0,1.0,0.98,-0.01,-0.2,0.0
365843427.0,2984.0,0.0,-0.01,0.02,0.05,0
365850443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365853427.0,2984.0,0.0,0.0,-0.07,-0.02,0
365860443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365863427.0,2984.0,0.0,0.0,-0.07,-0.05,0
365870443.0,7016.0,1.0,0.98,-0.01,-0.2,0.0
365873427.0,2984.0,0.0,-0.19,-0.52,-0.16,0
365880443.0,7016.0,1.0,0.98,-0.01,-0.2,-0.0
365884427.0,3984.0,0.0,-0.2,-1.14,-0.43,0
365890443.0,6016.0,1.0,0.98,-0.01,-0.2,-0.0
365893427.0,2984.0,0.0,0.55,-0.61,-0.91,0
365900443.0,7016.0,1.0,0.98,-0.01,-0.19,-0.0
365903427.0,2984.0,0.0,0.84,0.35,-1.17,0
365910443.0,7016.0,1.0,0.98,-0.01,-0.19,-0.0
365913427.0,2984.0,0.0,0.87,0.85,0.06,0
365920443.0,7016.0,1.0,0.98,-0.01,-0.19,-0.0
365924427.0,3984.0,0.0,0.9,0.81,0.52,0
365931443.0,7016.0,1.0,0.98,-0.01,-0.18,-0.0
365934427.0,2984.0,0.0,0.8,1.12,0.81,0
365941443.0,7016.0,1.0,0.98,-0.01,-0.18,-0.0
365944427.0,2984.0,0.0,0.45,0.68,0.63,0
365950443.0,6016.0,1.0,0.98,-0.01,-0.18,0.0
365953427.0,2984.0,0.0,-0.35,0.3,0.3,0
365960443.0,7016.0,1.0,0.99,-0.01,-0.17,0.0
365964427.0,3984.0,0.0,-0.57,-0.04,0.23,0
365970443.0,6016.0,1.0,0.99,-0.0,-0.17,0.01
365973427.0,2984.0,0.0,-1.04,-0.21,0.09,0
365980443.0,7016.0,1.0,0.99,-0.0,-0.16,0.01
365983427.0,2984.0,0.0,-1.04,-0.79,-0.3,0
365990443.0,7016.0,1.0,0.99,-0.0,-0.15,0.01
365993427.0,2984.0,0.0,-0.58,-1.07,-0.54,0
366000443.0,7016.0,1.0,0.99,-0.0,-0.14,0.01
366004427.0,3984.0,0.0,-0.32,-1.04,-0.66,0
366010443.0,6016.0,1.0,0.99,-0.0,-0.14,0.02
366013427.0,2984.0,0.0,-0.36,-1.08,-0.9,0
366019443.0,6016.0,1.0,0.99,-0.0,-0.13,0.02
366022427.0,2984.0,0.0,-0.43,-0.15,-0.55,0
366030443.0,8016.0,1.0,0.99,-0.0,-0.12,0.02
366033427.0,2984.0,0.0,-0.53,0.06,-0.16,0
366040443.0,7016.0,1.0,0.99,-0.01,-0.12,0.02
366043427.0,2984.0,0.0,-0.51,-0.02,0.08,0
366050443.0,7016.0,1.0,0.99,-0.01,-0.11,0.02
366053427.0,2984.0,0.0,-0.48,-0.23,0.29,0
366060443.0,7016.0,1.0,0.99,-0.01,-0.11,0.02
366063427.0,2984.0,0.0,-0.88,-0.22,1.77,0
366070443.0,7016.0,1.0,0.99,-0.01,-0.11,0.02
366073427.0,2984.0,0.0,-0.76,-1.37,2.75,0
366080443.0,7016.0,1.0,0.99,-0.01,-0.1,0.02
366083427.0,2984.0,0.0,-0.84,-2.52,2.94,0
366090443.0,7016.0,1.0,0.99,-0.01,-0.1,0.02
366093427.0,2984.0,0.0,-0.76,-3.2,2.55,0
366100443.0,7016.0,1.0,0.99,-0.0,-0.1,0.02
366103427.0,2984.0,0.0,-0.87,-1.45,1.17,0
366110443.0,7016.0,1.0,0.99,-0.0,-0.1,0.02
366113427.0,2984.0,0.0,-0.79,-1.51,0.13,0
366120443.0,7016.0,1.0,1.0,-0.0,-0.1,0.02
366123427.0,2984.0,0.0,-1.17,-1.91,-1.15,0
366132443.0,9016.0,1.0,1.0,-0.0,-0.09,0.01
366135427.0,2984.0,0.0,-1.72,-1.92,-0.82,0
366140443.0,5016.0,1.0,1.0,0.0,-0.09,0.01
366143427.0,2984.0,0.0,-1.46,-3.2,1.76,0
366150443.0,7016.0,1.0,1.0,0.0,-0.08,0.01
366153427.0,2984.0,0.0,-1.69,-2.48,1.31,0
366160443.0,7016.0,1.0,1.0,0.0,-0.07,0.01
366163427.0,2984.0,0.0,-1.54,-1.08,1.52,0
366170443.0,7016.0,1.0,1.0,0.01,-0.07,0.01
366173427.0,2984.0,0.0,-1.35,0.06,4.03,0
366180443.0,7016.0,1.0,1.0,0.01,-0.06,0.0
366183427.0,2984.0,0.0,-0.5,-0.38,4.31,0
366190443.0,7016.0,1.0,1.0,0.02,-0.05,0.0
366193427.0,2984.0,0.0,0.36,-1.04,3.95,0
366200443.0,7016.0,1.0,1.0,0.02,-0.04,0.0
366203427.0,2984.0,0.0,0.41,-1.5,4.05,0
366209443.0,6016.0,1.0,1.0,0.03,-0.03,-0.0
366212427.0,2984.0,0.0,0.41,-0.86,3.81,0
366220443.0,8016.0,1.0,1.0,0.03,-0.02,-0.0
366223427.0,2984.0,0.0,0.17,-3.29,1.51,0
366230443.0,7016.0,1.0,1.0,0.04,-0.02,-0.0
366233427.0,2984.0,0.0,-1.13,-0.52,2.39,0
366240443.0,7016.0,1.0,1.0,0.05,-0.01,-0.0
366243427.0,2984.0,0.0,-0.83,-0.18,2.01,0
366250443.0,7016.0,1.0,1.0,0.06,-0.01,-0.01
366253427.0,2984.0,0.0,0.1,-1.32,2.48,0
366260443.0,7016.0,1.0,1.0,0.06,-0.01,-0.01
366263427.0,2984.0,0.0,-0.33,-1.51,2.07,0
366270443.0,7016.0,1.0,1.0,0.07,-0.01,-0.01
366273427.0,2984.0,0.0,-0.22,-1.45,1.85,0
366280443.0,7016.0,1.0,1.0,0.07,-0.01,-0.01
366283427.0,2984.0,0.0,-0.18,-1.29,1.91,0
366293443.0,10016.0,1.0,1.0,0.08,-0.02,-0.02
366296427.0,2984.0,0.0,-0.71,-1.62,1.19,0
366300443.0,4016.0,1.0,1.0,0.09,-0.02,-0.02
366303427.0,2984.0,0.0,-1.04,-3.07,0.21,0
366310443.0,7016.0,1.0,1.0,0.09,-0.02,-0.02
366313427.0,2984.0,0.0,-1.13,-2.22,1.15,0
366320443.0,7016.0,1.0,0.99,0.1,-0.02,-0.03
366323427.0,2984.0,0.0,-0.97,-1.3,1.1,0
366330443.0,7016.0,1.0,0.99,0.11,-0.02,-0.03
366333427.0,2984.0,0.0,-0.88,-1.91,0.81,0
366340443.0,7016.0,1.0,0.99,0.12,-0.02,-0.03
366344427.0,3984.0,0.0,-0.99,-2.11,0.77,0
366350443.0,6016.0,1.0,0.99,0.12,-0.02,-0.04
366353427.0,2984.0,0.0,-1.66,-1.7,0.49,0
366360443.0,7016.0,1.0,0.99,0.13,-0.01,-0.04
366363427.0,2984.0,0.0,-0.53,-1.12,-0.3,0
366370443.0,7016.0,1.0,0.99,0.14,-0.01,-0.05
366373427.0,2984.0,0.0,-0.18,-0.87,-0.7,0
366380443.0,7016.0,1.0,0.99,0.14,-0.01,-0.05
366383427.0,2984.0,0.0,-0.09,0.36,-1.16,0
366390443.0,7016.0,1.0,0.99,0.15,-0.01,-0.06
366393427.0,2984.0,0.0,-0.22,0.99,-1.41,0
366400443.0,7016.0,1.0,0.99,0.15,-0.01,-0.06
366403427.0,2984.0,0.0,-0.22,-0.36,-1.07,0
366410443.0,7016.0,1.0,0.99,0.15,-0.01,-0.06
366413427.0,2984.0,0.0,-0.5,-0.53,-1.1,0
366420443.0,7016.0,1.0,0.99,0.16,-0.01,-0.06
366423427.0,2984.0,0.0,-0.77,-0.6,-1.22,0
366432443.0,9016.0,1.0,0.98,0.16,-0.02,-0.06
366435427.0,2984.0,0.0,-0.91,-0.57,-1.43,0
366441443.0,6016.0,1.0,0.98,0.17,-0.02,-0.07
366444427.0,2984.0,0.0,-1.22,-1.12,-1.89,0
366450443.0,6016.0,1.0,0.98,0.17,-0.01,-0.07
366453427.0,2984.0,0.0,-1.35,-0.79,-2.02,0
366460443.0,7016.0,1.0,0.98,0.18,-0.01,-0.07
366463427.0,2984.0,0.0,-1.36,-0.33,-2.1,0
366470443.0,7016.0,1.0,0.98,0.18,-0.01,-0.07
366473427.0,2984.0,0.0,-1.11,-0.25,-2.04,0
366480443.0,7016.0,1.0,0.98,0.19,-0.0,-0.07
366483427.0,2984.0,0.0,-0.2,0.31,-1.65,0
366490443.0,7016.0,1.0,0.98,0.19,-0.0,-0.07
366493427.0,2984.0,0.0,-0.24,0.45,-1.66,0
366501443.0,8016.0,1.0,0.98,0.2,-0.0,-0.07
366504427.0,2984.0,0.0,-0.79,1.1,-1.55,0
366510443.0,6016.0,1.0,0.98,0.2,0.0,-0.07
366513427.0,2984.0,0.0,-1.86,0.58,-1.33,0
366520443.0,7016.0,1.0,0.98,0.21,0.01,-0.07
366523427.0,2984.0,0.0,-1.85,-0.36,-0.99,0
366530443.0,7016.0,1.0,0.98,0.21,0.01,-0.07
366533427.0,2984.0,0.0,-1.9,-0.74,-0.98,0
366541443.0,8016.0,1.0,0.97,0.21,0.02,-0.07
366544427.0,2984.0,0.0,-2.02,-0.04,-0.82,0
366550443.0,6016.0,1.0,0.97,0.21,0.02,-0.07
366553427.0,2984.0,0.0,-0.56,0.27,-0.84,0
366560443.0,7016.0,1.0,0.97,0.22,0.03,-0.06
366563427.0,2984.0,0.0,-0.35,0.13,-0.77,0
366570443.0,7016.0,1.0,0.97,0.22,0.04,-0.06
366573427.0,2984.0,0.0,-0.27,1.27,-0.84,0
366581443.0,8016.0,1.0,0.97,0.22,0.05,-0.06
366584427.0,2984.0,0.0,-0.2,1.39,-1.73,0
366594443.0,10016.0,1.0,0.97,0.22,0.05,-0.05
366597427.0,2984.0,0.0,-0.87,-0.79,-1.38,0
366601443.0,4016.0,1.0,0.97,0.22,0.04,-0.05
366605427.0,3984.0,0.0,-1.28,-0.8,-0.71,0
366610443.0,5016.0,1.0,0.97,0.22,0.04,-0.05
366613427.0,2984.0,0.0,-1.42,-0.73,-0.03,0
366620443.0,7016.0,1.0,0.97,0.22,0.04,-0.05
366623427.0,2984.0,0.0,-1.2,-1.45,-0.26,0
366630443.0,7016.0,1.0,0.97,0.22,0.04,-0.05
366633427.0,2984.0,0.0,-0.22,-1.33,-0.48,0
366640443.0,7016.0,1.0,0.97,0.23,0.04,-0.05
366643427.0,2984.0,0.0,0.97,-0.41,-0.42,0
366650443.0,7016.0,1.0,0.97,0.23,0.05,-0.05
366653427.0,2984.0,0.0,1.5,1.72,-0.7,0
366661443.0,8016.0,1.0,0.97,0.23,0.05,-0.05
366664427.0,2984.0,0.0,0.86,2.82,-0.91,0
